comment,likes,replies
You can tell this man has clearly a good sleeping habit 'cause he managed to memorize everything without saying filler word. Amazing.,9440,52
"""You'd never sit at the dining table waiting to get hungry. So why would you lie in bed waiting to get sleepy?"" That was a POWERFUL ANALOGY",2027,9
"Amazing lecture ! I was tempted to make a joke ... ""this is the only professor that could be happy if the pupils get sleep during his speech""  ... seriously, clear and interesting speech ",447,7
"I think the importance of sleep is very overlooked. I totally believe that sleep functions as a kind of self reparation self healing cycle for the human body. In the sense that any health issue you have will be helped greatly if you just allow your body to completely slow down and go to sleep.

Good deep sleep clears the mind, recharges the body, it is simply good for health.",713,12
Best ever TED Talk   changed my life from sleeping late to sleeping early. Thanks Dear for such a fantastic 20 min life changing  lecture.,636,8
"Very impactful! I have been getting less and less sleep since I started management, and I noticed that I was getting sick a lot. This is definitely encouraging information!",43,0
"Set aside whatever you may think of the subject matter of this talk and then consider that you've just witnessed one of the most technically perfect examples of public speaking, ever! Every single aspect of this presenter's delivery was flawless. From the proverbial ""ice breaker"" to the rhythm and cadence of his expertly framed  subject points, to his non-verbal communication, his scanning of the entirety of the room and right down to his moments of pause. This presenter's talk should be used as reference material for those who are looking to train people in the fine art of public speaking.",4411,56
"I’ve been an insomniac since college. Talked to many doctors (all I’ve spoken with have a very limited understanding of the problem).  What he describes makes perfect sense. I feel like I have zero short term memory, I lose thing all the time, my thinking slows, takes me longer to come up with words/vocabulary, slows my writing and thinking. It’s horrendous. I get anxiety just thinking about going to bed. Hope more can be done in this area. I find if I just get into a rhythm, sometime I stay there. Usually takes meds to get me there but then I try to get myself off them and get natural sleep. Nothing is better than a full night of natural sleep. Nothing.",219,11
"This is the best TED talk I have ever come across. I have been struggling with sleep deprivation for a long time. The whole speech has been very insightful and I'm going to be more serious when it comes to sleep from now on. Thank you, Matt Walker and TED.",10,0
"This Ted Talk is LIFE CHANGER, thanks to Matt for his flawless speech and wake up call.",73,0
This is the most articulate Ted Talk I've ever heard... I notice the clarity of every word he said. Such a good speaker.This presenter's talk should be used as reference material for those who are looking to train people in the fine art of public speaking,171,1
"1:30 sleep for learning pre and post, 3:00 hippocampus 5:27 short long term memory",35,0
"This is one of the most eloquent speech I have ever listen to. Even if I am working while listening, I notice the clarity of every word he said. Such a good speaker.",2536,16
"I had been sleep deprived from my 16 until my 24 years of age (getting 3 to 4 hours of sleep per night). What I got as a result were panic attacks, anxiety, lack of memory and difficulties to learn (in college and work). My professional life was deeply affected by this, and I still struggle with my anxiety now. Currently, dealing with a restless partner during the night, I gained back to the old results of sleeping deprivation, and I say: it is torture. I hope I can convince him to do a ""sleep hygiene"" as we call it in Brazil, so I can sleep properly and be happy again =(",86,4
"I have found breathing exercises very useful in getting myself to sleep whenever I don't feel sleepy at bedtime.  Or doing a countdown from 100 or from 200 to zero depending on how sleepless I am. And if I run out of sleep at 3am, I sometimes just conclude that I have had enough sleep and stop worrying about being awake. 
He says :""Don't stay in bed waiting to get sleep just the same way you don't sit at the dinner table waiting to get hungry""",56,0
I'm facing issue regarding the memory like learning capacity of my brain is decreasing day by day and it's very difficult for me after watching this video I realize that the major problem is timing and quality of sleep with me. Thank you for such breif and effective analysis.,4,0
"He´s clearly one of the best minds of our generations, and this must to be a necessity subject in all of us education enviroment, I had suffered during my whole childhood because of the simply deprivations and know i can see why i was with bad grades and other disorders, it´s a simple act that makes a huge big difference in our lifes",22,0
"His book on sleep is incredibly insightful. Certainly one of the most impactful I have ever read. I have benefitted from many of the tips on sleeping better. However, whilst I feel that the general advice of when to sleep and wake up is a good one, it certainly does not fit everyone, also does not the same person at all times of the year. Sleeping at 10 pm and waking up at 6:00 am could mean different things to each person depending on his place in the world, and even to the same person depending on the season. It could be great advice in June, but not the best in December. It could be great for someone in Spain in the summer, but not the best for a Canadian in December.

I strongly believe that the optimal indicator of sleeping and waking up is the Sun’s position. This has always been the case for our ancestors before watches and artificial light, and there is consensus on it’s impact on our hormonal levels throughout the day relative to its angle. So maybe the best advice is to get a solar calendar app and use it as an indicator for the best sleep and wake up times, and shift the sleeping window relative the the sunrise and sunset times.",17,2
This ted talk put me to sleep; not out of boredom—out of fear.,6818,37
"I’ve been sober for almost 2 months now. My sleep has gotten us substantially better. I feel way more content, and my life has gotten better in every aspect.",130,6
"A fantastic set of ideas and data, well presented. Thank you, Matt Walker!",18,0
"As a mom of three under 4 who relies on 6 hours of sleep with 3 breaks in between, I am amazed at my body's ability to adapt and be able to cope on so little energy  nit I am really looking forward to sleeping 8 full hours",12,1
"Matt is fantastic! Besides the most obvious things, like night shifts, which should be totally eliminated and daylight savings nonsense there is one more problem related to teenagers, whose circadian rhythm shifts later than 11 p.m. in most cases. And they need 9 hours of sleep. So, starting school for them at 8 a.m. means to deprive them from sleep with all the consequences described by Matt.",11,2
The implications of all this for HOSPITALS where sleep is so difficult and where sometimes we are woken up.. IS IMMENSE. I hope those involved in planning hospitals take this on board!,2,1
"Best Ted Talk I've seen, straight forward, informative, and no narcissism, it was refreshing.",765,5
His info is life changing…in quality and quantity.  I’ve watched a few other interviews with him on YouTube that were so dense in research and tips.,16,0
"Thank you so much for your lecture regarding the powerful effects of proper sleep. 
I have found that I did not realize the importance of sleep for health of the body and the brain.

Thank you for your explanation of this valuable lesson, 
Your Canadian friend, Liam",10,0
The most powerful talk on sleep I've heard. I'm shook; (in a good way). And I hope it'll shook many more people in the future so that they have no choice but to take action.,5,1
A clear-calm mind is what everybody wants and I'm grateful for having it. I feel utmost silence in my mind such that I can focus on anything effectively. I feel a gentle sensation throughout my body as a result of deep meditation. I have attained control over my mind and I allow only positive thoughts to enter in. My habits have uplifted my mood and I'm happy about this.,29,3
"Apresentação incrível, contudo a legenda não está sincronizada, ao tradutor seria possível consertar isso? Muito obrigada!",0,0
"This is the most articulate Ted Talk I've ever heard... no ahhs, uhms and assorted vocal distractions.
Just solid information well delivered from start to finish. 
Excellent job, Professor Matthew Walker!",4552,61
This was an unbelievable TedTalk. One of the best I have heard in a while.,40,1
"This is INDEED  one of the best  talks on health,  I have heard in DECADES.  Thank you very much publisher.  Hope for more.",9,0
I truly believe that enough sleep is really vital to our body.,2,0
Impressed by Matt Walker's presentation skills. This was perfect!,9,0
I've come to this after picking up his book Why We Sleep which is really eye opening. I have definitely skipped on sleep all my life at various stages and now I'm trying to sleep better.,1,0
"I also read his book “Why We Sleep” and tried sleeping for 8 hours every day for some time and during my learning process, I was surprised to see that I was doing way better than my “6 hours of sleep days”. Also sleeping less than 8 hours makes depression level increase.",627,13
"Very well presented, especially with the deliberate pause after each important point to let it sink in. Besides he had his tempo spot on, not speaking so quickly that the audience had problems following him.",6,0
He's right. When I was getting lack of sleep I was alway getting sick for no reason but once I started getting deep sleep my immune system been bullet proof,8,0
"""Why We Sleep"" is a great book I would recommend to anyone who is interested in more about this. It really changed how I view my sleep (lack of sleep) overall.",0,0
